站点编号,站点名称,城市,经度,纬度,elevation,ndvi_mean_5km,population_density_5km,terrain_roughness_5km,urban_ratio_3km
1001A,万寿西宫,北京,116.366,39.8673,45,0.27682912326098513,19403.650783967318,5.042287789701755,0.7904946085042333
1002A,定陵,北京,116.17,40.2865,380,0.5125010171466039,229.83290523474588,198.82865974023264,0.032378858861631
1003A,东四,北京,116.434,39.9522,50,0.2915818091495577,18734.22106212717,5.747165401332782,0.7386719420389355
1004A,天坛,北京,116.434,39.8745,44,0.270576631323446,17535.951860901256,5.419004476541139,0.7430411966960135
1005A,农展馆,北京,116.473,39.9716,36,0.3271940966183575,11321.120923935454,5.229219153737808,0.65850327531335
1006A,官园,北京,116.361,39.9425,55,0.2711127728265702,22023.859452826226,4.227249049317574,0.8086474423962907
1007A,海淀区万柳,北京,116.315,39.9934,56,0.3318038392732077,16122.206707290523,5.052445088300147,0.6236303674092516
1008A,顺义新城,北京,116.72,40.1438,29,0.4161261246274295,955.5227140580031,3.983674058729828,0.38834196654032027
1009A,怀柔镇,北京,116.644,40.3937,185,0.4968049959795696,265.1892087009327,140.2512050009663,0.07405169043648968
1010A,昌平镇,北京,116.23,40.1952,60,0.3486798827308807,3406.039890834561,13.560275381599384,0.578673695489487
1011A,奥体中心,北京,116.407,40.0031,46,0.34835226536578134,13799.78538647037,5.574315284563661,0.5560337023655516
1012A,古城,北京,116.225,39.9279,61,0.34192026177664975,12980.04522928337,15.073355999094632,0.6105231115269516
1015A,勤俭道,天津,117.145,39.1654,6,0.2661521275913083,17864.5366438135,2.155218133257483,0.7452698983473329
1017A,大直沽八号路,天津,117.237,39.1082,6,0.22516090010523118,21156.782575523277,2.57646063287405,0.8622090059240545
1018A,前进道,天津,117.202,39.0927,6,0.2272940823974182,20458.78380035707,2.9708739262572443,0.8228638309512778
1021A,跃进路,天津,117.307,39.0877,6,0.2750635171909105,7144.498498198747,1.9935318969803328,0.6432693282360946
1023A,第四大街,天津,117.707,39.0343,9,0.24662687799001728,3170.56642618553,3.6099024887101345,0.8023505582203692
1024A,永明路,天津,117.457,38.8394,4,0.2240271001460729,2866.4131816785884,2.4461524655017897,0.7048675890377852
1026A,汉北路,天津,117.764,39.1587,0,0.29450194842211674,2760.690429532502,1.7280400018065323,0.2254231249496003
1027A,团泊洼(对照点),天津,117.157,38.9194,3,0.2524930402587298,383.18441752426713,1.7061407123127459,0.12083466757812121
1029A,职工医院,石家庄,114.4548,38.0513,81,0.2542892527281832,11852.11147977544,4.078708590927787,0.8940900268968128
1030A,高新区,石家庄,114.6046,38.0398,68,0.31881190942982407,3292.2038537975195,3.883718997078611,0.7481715562174237
1031A,西北水源,石家庄,114.5019,38.1398,69,0.3545738611717407,1684.4170014058782,3.5382927510974014,0.2659034910406979
1032A,西南高教,石家庄,114.4586111,38.00583333,76,0.2751060115780204,7642.728306889532,4.872077318099682,0.8525866101962597
1033A,世纪公园,石家庄,114.5330556,38.01777778,65,0.2761673696256757,9206.926341214603,4.761136127922137,0.8465449905685175
1037A,雷达站,唐山,118.144,39.643,36,0.2726217248626726,6566.7369499685865,7.2844293260551005,0.7993289090928862
1040A,十二中,唐山,118.1838,39.65782,22,0.2701475361699901,6134.764159451003,7.066512306160433,0.76929575378949
