站点编号,纬度,经度,elevation,terrain_roughness_5km,urban_ratio_3km,ndvi_mean_5km,population_density_5km,distance_to_coast_km,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5
1001A,39.8784,116.362,-0.5099891606296805,-0.6944641579990701,1.389676112051963,-0.8059187330579982,2.8904066238136314,-0.6451565321276366,True,False,False,False,False,False
1002A,40.2915,116.22,-0.3853452958457099,1.4862372122690608,-1.73475906374071,1.603345742224598,-0.8504659452761837,-0.550217304384076,True,False,False,False,False,False
1003A,39.9289,116.417,-0.5034289572199978,-0.6919140801455437,1.4853834905299093,-0.9015724758707531,3.0355274005230743,-0.6458075513783225,True,False,False,False,False,False
1004A,39.8863,116.407,-0.5116292114821012,-0.6841947546040658,1.107982108773587,-0.8926066841277027,2.896701802362268,-0.6512679415635534,True,False,False,False,False,False
1005A,39.9365,116.462,-0.5198294657442045,-0.6746232190156922,0.8373058566551266,-0.652183628829162,2.1035271895787004,-0.6515893562100814,True,False,False,False,False,False
1006A,39.9295,116.339,-0.5050690080724185,-0.7098620283639715,1.2934048920390449,-0.7732993945035304,3.377470540972816,-0.6331760885844796,True,False,False,False,False,False
1007A,39.9611,116.288,-0.5017889063675772,-0.7140112795905811,0.5096664845489813,-0.12959619574495387,2.767186560738008,-0.6197343189366366,True,False,False,False,False,False
1008A,40.135,116.664,-0.5263896691538872,-0.7007554955471378,0.06783163405802276,0.07994925087381292,-0.3194397046722452,-0.6420014271373289,True,False,False,False,False,False
1009A,40.3275,116.628,-0.4952287029578945,-0.3640697344807659,-0.14474244876530687,0.33792825664208137,-0.3512945053486408,-0.5959969333541087,True,False,False,False,False,False
1010A,40.217,116.23,-0.4788281944336879,-0.24998277974514918,0.5844242306069545,0.1527092801469031,-0.20354911785989488,-0.5657957383243823,True,False,False,False,False,False
1011A,39.9821,116.397,-0.5132692623345219,-0.6908520851079476,1.196711013400043,-0.3014641618956313,2.9911030036195694,-0.633532617292,True,False,False,False,False,False
1012A,39.9136,116.184,-0.4657077876143226,-0.08091773969168299,1.241531704505995,0.10204631159617975,0.9422815157230716,-0.60991250306358,True,False,False,False,False,False
1015A,39.1661,117.144,-0.5805113472837692,-0.7555488840745649,1.0973064054395414,-0.8610808695457995,2.6857172727313943,-0.8714058614189558,True,False,False,False,False,False
1017A,39.1082,117.237,-0.5788712964313485,-0.7467011157005976,1.6958863689421138,-1.3012589121552827,3.425813551432315,-0.8913600855948871,True,False,False,False,False,False
1018A,39.0927,117.202,-0.5788712964313485,-0.7385925089559923,1.5027415944700193,-1.2790853347142068,3.282786451196991,-0.8846516726189555,True,False,False,False,False,False
1021A,39.0877,117.307,-0.5788712964313485,-0.7586853463510076,0.6211153277841347,-0.7825411501926172,0.5545529839964439,-0.9054828514308089,True,False,False,False,False,False
1023A,39.0343,117.707,-0.5739511438740865,-0.7254549413373809,1.4020422981004574,-1.0781286505175283,-0.2597464116677442,-0.9791172099337401,True,False,False,False,False,False
1024A,38.8394,117.457,-0.5821513981361898,-0.7493800763303685,0.9235001106361034,-1.3130443096288889,-0.3220705276071062,-0.9624117819755849,True,False,False,False,False,False
1026A,39.1587,117.764,-0.5887116015458724,-0.7641435025743396,-1.430084361977859,-0.5804864257479145,-0.34373420268268434,-0.9815497178002923,True,False,False,False,False,False
1027A,38.9194,117.157,-0.5837914489886105,-0.7645937225072638,-1.9435072664477375,-1.0171522380357536,-0.8309095427949994,-0.8974207323611505,True,False,False,False,False,False
1029A,38.0444,114.442,-0.4575075333522192,-0.7090312156556027,1.8129305941649954,-0.8824425527419626,1.3129721478010261,-0.3358813555799049,True,False,False,False,False,False
1030A,38.0266,114.606,-0.4870284486957912,-0.7224804690684108,1.0019645465186202,-0.3187971218703758,-0.30705557119771165,-0.3674104434392924,True,False,False,False,False,False
1031A,38.1328,114.49,-0.4493072790901159,-0.714035302798424,-1.2108814313729916,-0.002213177051314657,-0.4963620305682695,-0.3504540862431163,True,False,False,False,False,False
1033A,38.0178,114.533,-0.48210829613852924,-0.7017670566751527,1.6197520584280298,-0.7717220796175023,0.9788978691520981,-0.3523431716497207,True,False,False,False,False,False
1037A,39.6363,118.131,-0.5477103302353559,-0.6807592395194348,1.1891091568089966,-0.7498291778456472,0.1874699033368127,-0.8772975186145296,True,False,False,False,False,False
1038A,39.6334,118.173,-0.5378700251208318,-0.6316784139882512,1.3059719035666932,-0.8466818715301376,0.5975245441975727,-0.8763826865818918,True,False,False,False,False,False
1040A,39.6506,118.171,-0.5378700251208318,-0.653395436258648,1.3020885521261938,-0.8635314997887538,0.5156522011762095,-0.8720129883745302,True,False,False,False,False,False
1041A,39.622,118.187,-0.5460702793829352,-0.6149271008584601,1.259011019493971,-0.6935600257644577,0.3802670865338566,-0.8786157726656174,True,False,False,False,False,False
1043A,40.0116,119.749,-0.5395100759732525,0.6580829231719777,0.05977612704124068,0.013766234639628049,-0.6195969515973773,-0.9737888760310525,True,False,False,False,False,False
1044A,39.9499,119.59,-0.5755911947265071,-0.5781351092677945,1.7141319240551474,-0.921627895871653,0.31278261980031585,-0.9776472386000475,True,False,False,False,False,False
1046A,39.9041,119.525,-0.5378700251208318,-0.4991393641889021,0.10536802463341205,-0.23176063933563135,-0.4234808863829413,-0.9853002215189923,True,False,False,False,False,False
1049A,36.5713,114.492,-0.48210829613852924,-0.699846335183217,0.9313561126031836,-0.4610826393713209,0.3024795406411104,-0.18010444173599965,True,False,False,False,False,False
1050A,36.6133,114.484,-0.48866849954821184,-0.6514871934931739,1.6663791944922153,-0.9199036670513822,0.48618168456455113,-0.18489429134135474,True,False,False,False,False,False
1051A,38.8632,115.493,-0.5559105844974591,-0.7268787141389393,1.9005647450452103,-0.9184637679604629,0.5556545201766275,-0.5642337585276637,True,False,False,False,False,False
1053A,38.9108,115.471,-0.5559105844974591,-0.7325402091056129,0.9555954869361545,-0.41399023145117314,-0.07285514100840923,-0.5577394507033652,True,False,False,False,False,False
1055A,38.8664,115.429,-0.5460702793829352,-0.7366923410661442,0.9415218655656625,-0.40627313353875893,-0.04306298889514933,-0.5511312546030094,True,False,False,False,False,False
1056A,38.8644,115.507,-0.5559105844974591,-0.7276400286222268,1.6605161945563247,-0.8308083306025396,0.42668028600911634,-0.5670241461164076,True,False,False,False,False,False
1057A,40.8336,114.888,0.6888880124898262,1.5056173099791421,-0.14708945778881174,-0.22743447813562845,-0.19437239734016074,-0.24888443089708365,False,False,False,False,False,True
1060A,40.762,114.89,0.577364554525221,0.4182149009762447,0.743040679368102,-0.8153078347791093,-0.48275675487996844,-0.26111979536769186,False,False,False,False,False,True
1061A,40.8661,114.892,0.7430096906197081,1.6664496599400618,-2.221654510699432,0.344164333312162,-0.6682867366304545,-0.24400789515702484,False,False,False,False,False,True
1063A,40.9763,117.939,-0.036014464280108106,0.4627309208905243,-0.9362373582272626,0.822577073024194,-0.41024918935855803,-0.5505123683420884,False,False,False,False,True,False
1064A,40.928,117.95,-0.07373563388578341,0.862767062952673,-1.3306202349570349,0.5559725052121984,-0.528698608198425,-0.560849864672735,False,False,False,False,True,False
1065A,40.9655,117.805,0.03286767152155986,0.7041757071031922,-1.4446153511576043,0.8175110548052369,-0.7922790897472094,-0.5315164228045999,False,False,False,False,True,False
1067A,39.5111,116.671,-0.5641108387595625,-0.7457477926713706,0.5267962404891491,-0.30023421723362115,-0.2522852988629804,-0.7505458451244932,True,False,False,False,False,False
1070A,39.5269,116.724,-0.5624707879071418,-0.7482776236696016,0.9222542715379484,-0.3846024818902713,-0.2716973374073317,-0.7582652393982922,True,False,False,False,False,False
1071A,38.2991,116.884,-0.5755911947265071,-0.7536205436800326,1.4109700376145946,-0.8811516747168457,-0.31158152858209187,-0.830062839455063,True,False,False,False,False,False
1072A,38.3254,116.858,-0.5706710421692451,-0.7532507270206907,1.3064133722260418,-0.839501477549959,-0.24498006600708455,-0.828944483051174,True,False,False,False,False,False
1073A,38.3228,116.871,-0.5755911947265071,-0.7516473939718327,1.3501105943202039,-0.9065840539482025,-0.258908869396859,-0.830939437163543,True,False,False,False,False,False
1074A,37.7541,115.684,-0.5509904319401971,-0.7596214258910516,1.1123210724529988,-0.233546807748494,-0.30167524916993904,-0.5461096666382825,True,False,False,False,False,False
1075A,37.7316,115.63,-0.5509904319401971,-0.7608106812992768,0.13220284175609656,0.04501424119028446,-0.7240715301891153,-0.5336100433131542,True,False,False,False,False,False
